"Test Suite","Test Case","Status","Duration (ms)","Error"
"UroSmart Enterprise Performance Validation Suite Signup API under 50 VUs","95th Percentile Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite Signup API under 50 VUs","Error Rate Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite Signup API under 50 VUs","Database Performance Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite Signup API under 100 VUs","HTTP Status Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite Signup API under 100 VUs","Response Time Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite Signup API under 100 VUs","95th Percentile Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite Signup API under 100 VUs","Error Rate Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite Signup API under 100 VUs","Database Performance Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite Signup API under 500 VUs","HTTP Status Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite Signup API under 500 VUs","Response Time Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite Signup API under 500 VUs","95th Percentile Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite Signup API under 500 VUs","Error Rate Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite Signup API under 500 VUs","Database Performance Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite CheckEmail API under 1 VU","HTTP Status Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite CheckEmail API under 1 VU","Response Time Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite CheckEmail API under 1 VU","95th Percentile Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite CheckEmail API under 1 VU","Error Rate Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite CheckEmail API under 1 VU","Database Performance Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite CheckEmail API under 50 VUs","HTTP Status Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite CheckEmail API under 50 VUs","Response Time Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite CheckEmail API under 50 VUs","95th Percentile Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite CheckEmail API under 50 VUs","Error Rate Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite CheckEmail API under 50 VUs","Database Performance Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite CheckEmail API under 100 VUs","HTTP Status Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite CheckEmail API under 100 VUs","Response Time Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite CheckEmail API under 100 VUs","95th Percentile Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite CheckEmail API under 100 VUs","Error Rate Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite CheckEmail API under 100 VUs","Database Performance Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite CheckEmail API under 500 VUs","HTTP Status Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite CheckEmail API under 500 VUs","Response Time Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite CheckEmail API under 500 VUs","95th Percentile Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite CheckEmail API under 500 VUs","Error Rate Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite CheckEmail API under 500 VUs","Database Performance Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite ChangePassword API under 1 VU","HTTP Status Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite ChangePassword API under 1 VU","Response Time Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite ChangePassword API under 1 VU","95th Percentile Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite ChangePassword API under 1 VU","Error Rate Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite ChangePassword API under 1 VU","Database Performance Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite ChangePassword API under 50 VUs","HTTP Status Validation","passed","1",""
"UroSmart Enterprise Performance Validation Suite ChangePassword API under 50 VUs","Response Time Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite ChangePassword API under 50 VUs","95th Percentile Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite ChangePassword API under 50 VUs","Error Rate Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite ChangePassword API under 50 VUs","Database Performance Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite ChangePassword API under 100 VUs","HTTP Status Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite ChangePassword API under 100 VUs","Response Time Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite ChangePassword API under 100 VUs","95th Percentile Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite ChangePassword API under 100 VUs","Error Rate Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite ChangePassword API under 100 VUs","Database Performance Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite ChangePassword API under 500 VUs","HTTP Status Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite ChangePassword API under 500 VUs","Response Time Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite ChangePassword API under 500 VUs","95th Percentile Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite ChangePassword API under 500 VUs","Error Rate Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite ChangePassword API under 500 VUs","Database Performance Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FeedbackSubmit API under 1 VU","HTTP Status Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FeedbackSubmit API under 1 VU","Response Time Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FeedbackSubmit API under 1 VU","95th Percentile Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FeedbackSubmit API under 1 VU","Error Rate Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FeedbackSubmit API under 1 VU","Database Performance Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FeedbackSubmit API under 50 VUs","HTTP Status Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FeedbackSubmit API under 50 VUs","Response Time Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FeedbackSubmit API under 50 VUs","95th Percentile Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FeedbackSubmit API under 50 VUs","Error Rate Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FeedbackSubmit API under 50 VUs","Database Performance Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FeedbackSubmit API under 100 VUs","HTTP Status Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FeedbackSubmit API under 100 VUs","Response Time Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FeedbackSubmit API under 100 VUs","95th Percentile Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FeedbackSubmit API under 100 VUs","Error Rate Validation","failed","0","AssertionError: Error rate of 1.00% exceeded SLA: expected 0.01 to be below 0.01"
"UroSmart Enterprise Performance Validation Suite FeedbackSubmit API under 100 VUs","Database Performance Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FeedbackSubmit API under 500 VUs","HTTP Status Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FeedbackSubmit API under 500 VUs","Response Time Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FeedbackSubmit API under 500 VUs","95th Percentile Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FeedbackSubmit API under 500 VUs","Error Rate Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FeedbackSubmit API under 500 VUs","Database Performance Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FileUpload API under 1 VU","HTTP Status Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FileUpload API under 1 VU","Response Time Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FileUpload API under 1 VU","95th Percentile Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FileUpload API under 1 VU","Error Rate Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FileUpload API under 1 VU","Database Performance Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FileUpload API under 50 VUs","HTTP Status Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FileUpload API under 50 VUs","Response Time Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FileUpload API under 50 VUs","95th Percentile Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FileUpload API under 50 VUs","Error Rate Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FileUpload API under 50 VUs","Database Performance Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FileUpload API under 100 VUs","HTTP Status Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FileUpload API under 100 VUs","Response Time Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FileUpload API under 100 VUs","95th Percentile Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FileUpload API under 100 VUs","Error Rate Validation","failed","0","AssertionError: Error rate of 1.00% exceeded SLA: expected 0.01 to be below 0.01"
"UroSmart Enterprise Performance Validation Suite FileUpload API under 100 VUs","Database Performance Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FileUpload API under 500 VUs","HTTP Status Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FileUpload API under 500 VUs","Response Time Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FileUpload API under 500 VUs","95th Percentile Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FileUpload API under 500 VUs","Error Rate Validation","passed","0",""
"UroSmart Enterprise Performance Validation Suite FileUpload API under 500 VUs","Database Performance Validation","passed","0",""
